127.0.0.1 - - [26/May/2020:21:38:04 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [26/May/2020:21:38:05 +0800] "GET /laboratoryweb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2020:21:38:05 +0800] "GET /laboratoryweb/homePage HTTP/1.1" 200 17052
0:0:0:0:0:0:0:1 - - [26/May/2020:21:38:05 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:21:38:06 +0800] "GET /laboratoryweb/getNoticeList?_=1590500285940 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [26/May/2020:21:38:06 +0800] "GET /laboratoryweb/getRuleList?_=1590500285941 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [26/May/2020:21:38:06 +0800] "GET /laboratoryweb/getLabRankList?_=1590500285942 HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [26/May/2020:21:38:06 +0800] "GET /laboratoryweb/getLabTime?id=1001 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/May/2020:21:38:06 +0800] "GET /laboratoryweb/getLabTime?id=1006 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/May/2020:21:38:06 +0800] "GET /laboratoryweb/getLabTime?id=1004 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/May/2020:21:38:06 +0800] "GET /laboratoryweb/getLabTime?id=1012 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/May/2020:21:38:06 +0800] "GET /laboratoryweb/getExperPjtList?_=1590500285943 HTTP/1.1" 200 4754
0:0:0:0:0:0:0:1 - - [26/May/2020:21:38:06 +0800] "GET /laboratoryweb/getLabList?_=1590500285944 HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:31 +0800] "GET /laboratoryweb/homePage HTTP/1.1" 200 17052
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:31 +0800] "GET /laboratoryweb/getNoticeList?_=1590500371227 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:31 +0800] "GET /laboratoryweb/getRuleList?_=1590500371228 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:31 +0800] "GET /laboratoryweb/getLabRankList?_=1590500371229 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:31 +0800] "GET /laboratoryweb/getLabTime?id=1001 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:31 +0800] "GET /laboratoryweb/getLabTime?id=1008 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:31 +0800] "GET /laboratoryweb/getLabTime?id=1003 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:31 +0800] "GET /laboratoryweb/getLabTime?id=1005 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:31 +0800] "GET /laboratoryweb/getExperPjtList?_=1590500371230 HTTP/1.1" 200 4754
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:31 +0800] "GET /laboratoryweb/getLabList?_=1590500371231 HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:31 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:32 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:32 +0800] "GET /laboratoryweb/resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:32 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:44 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:44 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [26/May/2020:21:39:44 +0800] "GET /laboratoryweb/kaptcha.jpg?d=Tue%20May%2026%202020%2021:39:44%20GMT+0800%20(%E4%B8%AD%E5%9B%BD%E6%A0%87%E5%87%86%E6%97%B6%E9%97%B4) HTTP/1.1" 200 3829
0:0:0:0:0:0:0:1 - - [26/May/2020:21:40:00 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/May/2020:21:40:00 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [26/May/2020:21:40:00 +0800] "GET /laboratoryweb/studentPage HTTP/1.1" 200 6402
0:0:0:0:0:0:0:1 - - [26/May/2020:21:40:00 +0800] "GET /laboratoryweb/resources/js/studentPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:21:40:00 +0800] "GET /laboratoryweb/student/index?_=1590500400751 HTTP/1.1" 200 15615
0:0:0:0:0:0:0:1 - - [26/May/2020:21:40:00 +0800] "GET /laboratoryweb/resources/img/msg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:21:40:00 +0800] "GET /laboratoryweb/findUserMsg HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [26/May/2020:21:40:00 +0800] "GET /laboratoryweb/getNoticeList?_=1590500400752 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [26/May/2020:21:40:02 +0800] "POST /laboratoryweb/getPagerUserNMSG HTTP/1.1" 200 52
