127.0.0.1 - - [11/May/2020:14:38:45 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:47 +0800] "GET /laboratoryweb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:47 +0800] "GET /laboratoryweb/homePage HTTP/1.1" 200 16890
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:47 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:47 +0800] "GET /laboratoryweb/resources/css/page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:47 +0800] "GET /laboratoryweb/resources/img/hpc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:47 +0800] "GET /laboratoryweb/resources/img/headbg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:47 +0800] "GET /laboratoryweb/getNoticeList?_=1589179127172 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:47 +0800] "GET /laboratoryweb/getRuleList?_=1589179127173 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:47 +0800] "GET /laboratoryweb/getLabRankList?_=1589179127174 HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:48 +0800] "GET /laboratoryweb/getLabTime?id=1010 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:48 +0800] "GET /laboratoryweb/getLabTime?id=1011 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:48 +0800] "GET /laboratoryweb/getLabTime?id=1001 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:48 +0800] "GET /laboratoryweb/getLabTime?id=1003 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:48 +0800] "GET /laboratoryweb/getExperPjtList?_=1589179127175 HTTP/1.1" 200 4796
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:48 +0800] "GET /laboratoryweb/getLabList?_=1589179127176 HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/homePage HTTP/1.1" 200 16890
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/resources/css/page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/resources/img/hpc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/resources/img/headbg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/getNoticeList?_=1589179139676 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/getRuleList?_=1589179139677 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/getLabRankList?_=1589179139678 HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/getLabTime?id=1003 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/getLabTime?id=1007 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/getLabTime?id=1001 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/getLabTime?id=1010 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/getExperPjtList?_=1589179139679 HTTP/1.1" 200 4796
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /laboratoryweb/getLabList?_=1589179139680 HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [11/May/2020:14:38:59 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [11/May/2020:14:39:03 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [11/May/2020:14:39:03 +0800] "GET /laboratoryweb/resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:14:39:03 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3731
