0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:25 +0800] "GET /laboratoryweb/orderManager?_=1587816057385 HTTP/1.1" 200 4143
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:25 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/pagination_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:25 +0800] "POST /laboratoryweb/getPagerOrders HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/studentManager?_=1587816057386 HTTP/1.1" 200 12198
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/resources/css/icons/add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "POST /laboratoryweb/getPagerStudents HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30001 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30001 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30001 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30001 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30001 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30003 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30003 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30003 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:26 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:29 +0800] "GET /laboratoryweb/teacherManager?_=1587816057387 HTTP/1.1" 200 9276
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:29 +0800] "POST /laboratoryweb/getAllDepartments HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:29 +0800] "POST /laboratoryweb/getAllDepartments HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:30 +0800] "POST /laboratoryweb/getPagerTeachers HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:30 +0800] "GET /laboratoryweb/getTeacherDepart?teacherId=1 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:30 +0800] "GET /laboratoryweb/getTeacherDepart?teacherId=3 HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:30 +0800] "GET /laboratoryweb/getTeacherDepart?teacherId=4 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:30 +0800] "GET /laboratoryweb/getTeacherDepart?teacherId=5 HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:30 +0800] "GET /laboratoryweb/getTeacherDepart?teacherId=10 HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:54 +0800] "GET /laboratoryweb/adminPage HTTP/1.1" 200 4905
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:54 +0800] "GET /laboratoryweb/adminIndex?_=1587817134455 HTTP/1.1" 200 11078
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:18:54 +0800] "GET /laboratoryweb/getNoticeList?_=1587817134457 HTTP/1.1" 200 560
