127.0.0.1 - - [16/May/2020:13:23:41 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:42 +0800] "GET /laboratoryweb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:42 +0800] "GET /laboratoryweb/homePage HTTP/1.1" 200 17052
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:42 +0800] "GET /laboratoryweb/resources/css/page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:42 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:42 +0800] "GET /laboratoryweb/resources/img/hpc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:43 +0800] "GET /laboratoryweb/resources/img/headbg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:44 +0800] "GET /laboratoryweb/getNoticeList?_=1589606622957 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:44 +0800] "GET /laboratoryweb/getRuleList?_=1589606622958 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:44 +0800] "GET /laboratoryweb/getLabRankList?_=1589606622959 HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:44 +0800] "GET /laboratoryweb/getLabTime?id=1001 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:44 +0800] "GET /laboratoryweb/getLabTime?id=1012 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:44 +0800] "GET /laboratoryweb/getLabTime?id=1005 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:44 +0800] "GET /laboratoryweb/getLabTime?id=1002 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:44 +0800] "GET /laboratoryweb/getExperPjtList?_=1589606622960 HTTP/1.1" 200 4812
0:0:0:0:0:0:0:1 - - [16/May/2020:13:23:44 +0800] "GET /laboratoryweb/getLabList?_=1589606622961 HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:19 +0800] "GET /laboratoryweb/homePage HTTP/1.1" 200 17052
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:19 +0800] "GET /laboratoryweb/resources/css/page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:19 +0800] "GET /laboratoryweb/resources/img/hpc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:19 +0800] "GET /laboratoryweb/resources/img/headbg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:19 +0800] "GET /laboratoryweb/getNoticeList?_=1589606659592 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:19 +0800] "GET /laboratoryweb/getRuleList?_=1589606659593 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:19 +0800] "GET /laboratoryweb/getLabRankList?_=1589606659594 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:19 +0800] "GET /laboratoryweb/getLabTime?id=1001 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:19 +0800] "GET /laboratoryweb/getLabTime?id=1003 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:19 +0800] "GET /laboratoryweb/getLabTime?id=1014 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:19 +0800] "GET /laboratoryweb/getLabTime?id=1005 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:19 +0800] "GET /laboratoryweb/getExperPjtList?_=1589606659595 HTTP/1.1" 200 4812
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:20 +0800] "GET /laboratoryweb/getLabList?_=1589606659596 HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:20 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:22 +0800] "GET /laboratoryweb/getNoticeContent?id=4 HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [16/May/2020:13:24:25 +0800] "GET /laboratoryweb/getRuleContent?id=1 HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [16/May/2020:13:26:00 +0800] "POST /laboratoryweb/getPagerLaboratorys HTTP/1.1" 200 1874
0:0:0:0:0:0:0:1 - - [16/May/2020:13:26:02 +0800] "POST /laboratoryweb/getPagerLaboratorys HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [16/May/2020:13:26:04 +0800] "POST /laboratoryweb/getPagerExperProjects HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [16/May/2020:13:26:06 +0800] "POST /laboratoryweb/getPagerExperProjects HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [16/May/2020:13:26:08 +0800] "GET /laboratoryweb/getNoticeContent?id=4 HTTP/1.1" 200 811
